name	category1	catetgory2	bonus	
진도 부대찌개	한식			우삼겹 부대찌개
김일도 김치찌개	한식			그냥 그런 김치찌개
쭈라	한식	면류		매운 쭈꾸미 라면
밥플러스	한식	밥류	비	가성비 좋음
하루나	일식	돈까스		하루나정식(안심 돈까스)
순대국밥	한식	국밥		정식
아비꼬	일식	밥류(카레)		카레가 떙긴다면
성수감자탕	한식	국밥(감자탕)		좋은 퀄리티의 뼈다귀해장국
양평해장국	한식	국밥(해장국)		곱창해장국 
제주국수	한식	면류		제주음식이 땡긴다면
범마하노이	아시안	면류		분짜 좋음->가격상승 및 매일 맛이 다름
좋은 생고기	한식	고기		점심에 고기 굽고 싶다면
한서칼국수	한식	면류	비	맛집 ㅇㅈ
일일향	중식	면류	비	중식이 땡긴다면
버거킹	양식	버거		햄버거가 떙긴다면(건대)
노브랜드버거	양식	버거		가성비 좋은 햄버거
토라식당	일식	돈까스		돈까스 굿
해물썬	한식	한식		스키야끼 칼국수 + 볶음밥
레귤러	양식			건강함과 배고픔이 느껴짐
소바식당	일식	면류		웨이팅에 비해 별로임
달아래면	중식	면류		탄탄멘중식
구시월	한식	한식		닭요리보다는 오늘의 메뉴!
담미온	한식	국밥		수육국밥, 보쌈정식
라화쿵부	중식	마라탕		마라탕이 땡길때~
광장족발	한식	밥류	비	육개장
웰컴차이나	중식	면류		비가온다면…+★
우동가조쿠	일식	면류		우동
시타마치	일식	면류	비	일본라멘
백정돈공장	한식			불백
바우네나주곰탕	한식	국밥(곰탕)		나주곰탕
가족스시	일식	스시		스시
원산면옥	한식			제육
스시메이	일식	스시		스시(가족스시보다 쪼금 좋은듯)
나나센	일식	면류		라멘
이북집	한식	국밥		순대국밥
김명자굴국밥	한식	국밥		매생이굴국밥(겨울)
하오마라	중식	마라탕		마라탕
북촌손만두	분식	면류		칼국수,만둣국
옵션	일식	돈까스		돈까스
렁팡스	양식	면류		lunch pasta 14000
고운 돈카츠	일식	돈까스		돈까스(등심), 프리미엄(등심)+생맥
가마솥 곰식당	한식	국밥(곰탕)		곰탕
본죽	한식	밥류(죽)		죽
텐동식당	일식	밥류		튀김덮밥(맥주와 함께면 +☆)
핑거팁스	양식	버거		수제햄버거(가성비는 좋지 않다)
레몬테라스	아시안			태국음식
문화식당	양식	면류		파스타
중앙감속기	중식			퓨전중식(흠 맛과 가격 둘다..별로)
보이어	양식	면류		파스타
웨이하이	중식	면류		중식
숲속식사	한식	밥류		볶음밥
타논55	아시안	면류		쌀국수
사진창고	일식	밥류		발란스동
창화당	분식	면류		분식
밀본	한식	면류		칼국수
교대 이층집	한식			고기
대우식당	한식	면류		장칼국수
